order_id,date,time,Round Of Time,Month,weekday basis on Date
48,01-01-2015,18:26:42,18:00:00,January,Thursday
49,01-01-2015,18:33:00,18:00:00,January,Thursday
50,01-01-2015,18:41:01,18:00:00,January,Thursday
51,01-01-2015,18:48:28,18:00:00,January,Thursday
52,01-01-2015,18:53:02,18:00:00,January,Thursday
53,01-01-2015,18:54:17,18:00:00,January,Thursday
54,01-01-2015,19:01:45,19:00:00,January,Thursday
55,01-01-2015,19:03:19,19:00:00,January,Thursday
56,01-01-2015,19:07:00,19:00:00,January,Thursday
57,01-01-2015,19:10:51,19:00:00,January,Thursday
58,01-01-2015,19:30:40,19:00:00,January,Thursday
59,01-01-2015,19:40:08,19:00:00,January,Thursday
60,01-01-2015,20:05:16,20:00:00,January,Thursday
61,01-01-2015,20:08:43,20:00:00,January,Thursday
62,01-01-2015,20:50:16,20:00:00,January,Thursday
63,01-01-2015,20:51:42,20:00:00,January,Thursday
64,01-01-2015,20:52:08,20:00:00,January,Thursday
65,01-01-2015,21:16:00,21:00:00,January,Thursday
66,01-01-2015,21:47:55,21:00:00,January,Thursday
67,01-01-2015,22:03:40,22:00:00,January,Thursday
68,01-01-2015,22:07:32,22:00:00,January,Thursday
69,01-01-2015,22:12:13,22:00:00,January,Thursday
70,02-01-2015,11:38:51,11:00:00,January,Friday
71,02-01-2015,11:40:50,11:00:00,January,Friday
72,02-01-2015,11:57:25,11:00:00,January,Friday
73,02-01-2015,11:58:56,11:00:00,January,Friday
74,02-01-2015,12:01:12,12:00:00,January,Friday
75,02-01-2015,12:10:15,12:00:00,January,Friday
76,02-01-2015,12:21:17,12:00:00,January,Friday
77,02-01-2015,12:22:46,12:00:00,January,Friday
78,02-01-2015,12:28:14,12:00:00,January,Friday
79,02-01-2015,12:29:11,12:00:00,January,Friday
80,02-01-2015,12:35:38,12:00:00,January,Friday
81,02-01-2015,12:40:01,12:00:00,January,Friday
82,02-01-2015,12:45:51,12:00:00,January,Friday
83,02-01-2015,12:53:27,12:00:00,January,Friday
84,02-01-2015,13:13:41,13:00:00,January,Friday
85,02-01-2015,13:34:49,13:00:00,January,Friday
86,02-01-2015,13:40:31,13:00:00,January,Friday
87,02-01-2015,14:01:02,14:00:00,January,Friday
88,02-01-2015,14:10:08,14:00:00,January,Friday
89,02-01-2015,14:30:19,14:00:00,January,Friday
90,02-01-2015,15:08:48,15:00:00,January,Friday
91,02-01-2015,15:14:43,15:00:00,January,Friday
92,02-01-2015,15:17:02,15:00:00,January,Friday
93,02-01-2015,15:29:31,15:00:00,January,Friday
94,02-01-2015,16:17:16,16:00:00,January,Friday
95,02-01-2015,16:18:04,16:00:00,January,Friday
96,02-01-2015,16:21:20,16:00:00,January,Friday
97,02-01-2015,16:45:33,16:00:00,January,Friday
98,02-01-2015,17:18:18,17:00:00,January,Friday
99,02-01-2015,17:45:42,17:00:00,January,Friday
100,02-01-2015,17:46:17,17:00:00,January,Friday
101,02-01-2015,17:51:33,17:00:00,January,Friday
102,02-01-2015,17:54:04,17:00:00,January,Friday
103,02-01-2015,18:02:09,18:00:00,January,Friday
104,02-01-2015,18:02:12,18:00:00,January,Friday
105,02-01-2015,18:12:01,18:00:00,January,Friday
106,02-01-2015,18:12:13,18:00:00,January,Friday
107,02-01-2015,18:25:09,18:00:00,January,Friday
108,02-01-2015,18:25:25,18:00:00,January,Friday
109,02-01-2015,18:27:50,18:00:00,January,Friday
110,02-01-2015,18:36:19,18:00:00,January,Friday
111,02-01-2015,18:38:01,18:00:00,January,Friday
112,02-01-2015,18:41:40,18:00:00,January,Friday
113,02-01-2015,18:50:21,18:00:00,January,Friday
114,02-01-2015,18:59:32,18:00:00,January,Friday
115,02-01-2015,19:05:17,19:00:00,January,Friday
116,02-01-2015,19:18:49,19:00:00,January,Friday
117,02-01-2015,19:23:02,19:00:00,January,Friday
118,02-01-2015,19:26:59,19:00:00,January,Friday
119,02-01-2015,19:32:29,19:00:00,January,Friday
120,02-01-2015,19:35:07,19:00:00,January,Friday
121,02-01-2015,19:38:48,19:00:00,January,Friday
122,02-01-2015,19:50:19,19:00:00,January,Friday
123,02-01-2015,20:12:09,20:00:00,January,Friday
124,02-01-2015,20:12:34,20:00:00,January,Friday
125,02-01-2015,20:31:06,20:00:00,January,Friday
126,02-01-2015,20:53:42,20:00:00,January,Friday
127,02-01-2015,20:58:23,20:00:00,January,Friday
128,02-01-2015,21:05:06,21:00:00,January,Friday
129,02-01-2015,21:13:02,21:00:00,January,Friday
130,02-01-2015,21:14:55,21:00:00,January,Friday
131,02-01-2015,21:33:10,21:00:00,January,Friday
132,02-01-2015,21:42:45,21:00:00,January,Friday
133,02-01-2015,22:00:17,22:00:00,January,Friday
134,02-01-2015,22:13:24,22:00:00,January,Friday
135,02-01-2015,22:29:34,22:00:00,January,Friday
136,02-01-2015,22:32:49,22:00:00,January,Friday
137,03-01-2015,11:34:10,11:00:00,January,Saturday
138,03-01-2015,11:44:50,11:00:00,January,Saturday
139,03-01-2015,11:57:39,11:00:00,January,Saturday
140,03-01-2015,12:26:44,12:00:00,January,Saturday
141,03-01-2015,13:16:01,13:00:00,January,Saturday
142,03-01-2015,13:33:59,13:00:00,January,Saturday
143,03-01-2015,13:41:36,13:00:00,January,Saturday
144,03-01-2015,13:44:28,13:00:00,January,Saturday
145,03-01-2015,13:53:48,13:00:00,January,Saturday
146,03-01-2015,14:22:10,14:00:00,January,Saturday
147,03-01-2015,14:32:51,14:00:00,January,Saturday
148,03-01-2015,14:40:42,14:00:00,January,Saturday
149,03-01-2015,14:48:45,14:00:00,January,Saturday
150,03-01-2015,14:49:58,14:00:00,January,Saturday
151,03-01-2015,15:09:34,15:00:00,January,Saturday
152,03-01-2015,15:09:42,15:00:00,January,Saturday
153,03-01-2015,15:16:34,15:00:00,January,Saturday
154,03-01-2015,15:22:43,15:00:00,January,Saturday
155,03-01-2015,15:28:59,15:00:00,January,Saturday
156,03-01-2015,15:42:19,15:00:00,January,Saturday
157,03-01-2015,15:43:03,15:00:00,January,Saturday
158,03-01-2015,15:54:30,15:00:00,January,Saturday
159,03-01-2015,15:59:22,15:00:00,January,Saturday
160,03-01-2015,16:35:33,16:00:00,January,Saturday
161,03-01-2015,16:43:46,16:00:00,January,Saturday
162,03-01-2015,16:51:22,16:00:00,January,Saturday
163,03-01-2015,16:54:54,16:00:00,January,Saturday
164,03-01-2015,16:56:33,16:00:00,January,Saturday
165,03-01-2015,16:57:37,16:00:00,January,Saturday
166,03-01-2015,16:58:51,16:00:00,January,Saturday
167,03-01-2015,17:00:49,17:00:00,January,Saturday
168,03-01-2015,17:02:27,17:00:00,January,Saturday
169,03-01-2015,17:15:48,17:00:00,January,Saturday
170,03-01-2015,17:21:31,17:00:00,January,Saturday
171,03-01-2015,17:23:03,17:00:00,January,Saturday
172,03-01-2015,17:29:24,17:00:00,January,Saturday
173,03-01-2015,17:35:30,17:00:00,January,Saturday
174,03-01-2015,17:37:49,17:00:00,January,Saturday
175,03-01-2015,17:50:51,17:00:00,January,Saturday
176,03-01-2015,17:51:57,17:00:00,January,Saturday
177,03-01-2015,17:54:36,17:00:00,January,Saturday
178,03-01-2015,18:15:03,18:00:00,January,Saturday
179,03-01-2015,18:20:14,18:00:00,January,Saturday
180,03-01-2015,18:33:34,18:00:00,January,Saturday
181,03-01-2015,18:49:32,18:00:00,January,Saturday
182,03-01-2015,18:50:10,18:00:00,January,Saturday
183,03-01-2015,18:54:55,18:00:00,January,Saturday
184,03-01-2015,18:59:05,18:00:00,January,Saturday
185,03-01-2015,19:08:33,19:00:00,January,Saturday
186,03-01-2015,19:36:00,19:00:00,January,Saturday
187,03-01-2015,19:37:12,19:00:00,January,Saturday
188,03-01-2015,20:08:39,20:00:00,January,Saturday
189,03-01-2015,20:12:14,20:00:00,January,Saturday
190,03-01-2015,20:14:23,20:00:00,January,Saturday
191,03-01-2015,20:24:50,20:00:00,January,Saturday
192,03-01-2015,20:30:08,20:00:00,January,Saturday
193,03-01-2015,20:55:47,20:00:00,January,Saturday
194,03-01-2015,21:21:24,21:00:00,January,Saturday
195,03-01-2015,21:25:20,21:00:00,January,Saturday
196,03-01-2015,21:40:14,21:00:00,January,Saturday
197,03-01-2015,21:47:48,21:00:00,January,Saturday
198,03-01-2015,21:55:42,21:00:00,January,Saturday
199,03-01-2015,22:10:38,22:00:00,January,Saturday
200,03-01-2015,22:24:05,22:00:00,January,Saturday
201,03-01-2015,22:29:59,22:00:00,January,Saturday
202,03-01-2015,22:50:29,22:00:00,January,Saturday
203,04-01-2015,11:30:48,11:00:00,January,Sunday
204,04-01-2015,11:36:25,11:00:00,January,Sunday
205,04-01-2015,11:43:54,11:00:00,January,Sunday
206,04-01-2015,11:45:10,11:00:00,January,Sunday
207,04-01-2015,12:03:58,12:00:00,January,Sunday
208,04-01-2015,12:12:05,12:00:00,January,Sunday
209,04-01-2015,12:29:17,12:00:00,January,Sunday
210,04-01-2015,12:34:13,12:00:00,January,Sunday
211,04-01-2015,12:54:20,12:00:00,January,Sunday
212,04-01-2015,13:16:03,13:00:00,January,Sunday
213,04-01-2015,13:20:39,13:00:00,January,Sunday
214,04-01-2015,13:39:16,13:00:00,January,Sunday
215,04-01-2015,13:44:49,13:00:00,January,Sunday
216,04-01-2015,14:31:56,14:00:00,January,Sunday
217,04-01-2015,14:35:03,14:00:00,January,Sunday
218,04-01-2015,14:35:11,14:00:00,January,Sunday
219,04-01-2015,14:42:01,14:00:00,January,Sunday
220,04-01-2015,15:31:59,15:00:00,January,Sunday
221,04-01-2015,15:33:18,15:00:00,January,Sunday
222,04-01-2015,15:46:38,15:00:00,January,Sunday
223,04-01-2015,16:08:20,16:00:00,January,Sunday
224,04-01-2015,16:39:58,16:00:00,January,Sunday
225,04-01-2015,16:41:48,16:00:00,January,Sunday
226,04-01-2015,16:59:39,16:00:00,January,Sunday
227,04-01-2015,17:24:39,17:00:00,January,Sunday
228,04-01-2015,17:31:24,17:00:00,January,Sunday
229,04-01-2015,17:37:57,17:00:00,January,Sunday
230,04-01-2015,17:58:38,17:00:00,January,Sunday
231,04-01-2015,18:04:18,18:00:00,January,Sunday
232,04-01-2015,18:21:59,18:00:00,January,Sunday
233,04-01-2015,18:26:51,18:00:00,January,Sunday
234,04-01-2015,18:36:09,18:00:00,January,Sunday
235,04-01-2015,18:51:30,18:00:00,January,Sunday
236,04-01-2015,19:21:04,19:00:00,January,Sunday
237,04-01-2015,19:27:48,19:00:00,January,Sunday
238,04-01-2015,19:45:15,19:00:00,January,Sunday
239,04-01-2015,19:57:52,19:00:00,January,Sunday
240,04-01-2015,20:10:24,20:00:00,January,Sunday
241,04-01-2015,20:11:25,20:00:00,January,Sunday
242,04-01-2015,20:15:29,20:00:00,January,Sunday
243,04-01-2015,20:26:17,20:00:00,January,Sunday
244,04-01-2015,20:26:22,20:00:00,January,Sunday
245,04-01-2015,20:28:41,20:00:00,January,Sunday
246,04-01-2015,20:30:48,20:00:00,January,Sunday
247,04-01-2015,20:55:29,20:00:00,January,Sunday
248,04-01-2015,20:58:19,20:00:00,January,Sunday
249,04-01-2015,21:06:16,21:00:00,January,Sunday
250,04-01-2015,21:07:05,21:00:00,January,Sunday
251,04-01-2015,21:10:05,21:00:00,January,Sunday
252,04-01-2015,22:13:15,22:00:00,January,Sunday
253,04-01-2015,22:16:18,22:00:00,January,Sunday
254,04-01-2015,22:22:13,22:00:00,January,Sunday
255,05-01-2015,11:23:35,11:00:00,January,Monday
256,05-01-2015,11:56:06,11:00:00,January,Monday
257,05-01-2015,11:59:04,11:00:00,January,Monday
258,05-01-2015,11:59:23,11:00:00,January,Monday
259,05-01-2015,12:04:25,12:00:00,January,Monday
260,05-01-2015,12:06:27,12:00:00,January,Monday
261,05-01-2015,12:38:29,12:00:00,January,Monday
262,05-01-2015,12:42:01,12:00:00,January,Monday
263,05-01-2015,12:57:22,12:00:00,January,Monday
264,05-01-2015,13:03:59,13:00:00,January,Monday
265,05-01-2015,13:04:42,13:00:00,January,Monday
266,05-01-2015,13:09:29,13:00:00,January,Monday
267,05-01-2015,13:37:50,13:00:00,January,Monday
268,05-01-2015,13:40:46,13:00:00,January,Monday
269,05-01-2015,13:49:34,13:00:00,January,Monday
270,05-01-2015,14:09:02,14:00:00,January,Monday
271,05-01-2015,14:22:19,14:00:00,January,Monday
272,05-01-2015,14:24:05,14:00:00,January,Monday
273,05-01-2015,14:28:00,14:00:00,January,Monday
274,05-01-2015,14:36:33,14:00:00,January,Monday
275,05-01-2015,14:38:14,14:00:00,January,Monday
276,05-01-2015,15:18:18,15:00:00,January,Monday
277,05-01-2015,15:41:50,15:00:00,January,Monday
278,05-01-2015,15:49:21,15:00:00,January,Monday
279,05-01-2015,16:07:03,16:00:00,January,Monday
280,05-01-2015,16:20:23,16:00:00,January,Monday
281,05-01-2015,16:33:48,16:00:00,January,Monday
282,05-01-2015,16:49:38,16:00:00,January,Monday
283,05-01-2015,16:51:43,16:00:00,January,Monday
284,05-01-2015,16:58:16,16:00:00,January,Monday
285,05-01-2015,16:58:38,16:00:00,January,Monday
286,05-01-2015,17:01:23,17:00:00,January,Monday
287,05-01-2015,17:30:09,17:00:00,January,Monday
288,05-01-2015,17:32:44,17:00:00,January,Monday
289,05-01-2015,17:36:23,17:00:00,January,Monday
290,05-01-2015,17:41:16,17:00:00,January,Monday
291,05-01-2015,17:44:39,17:00:00,January,Monday
292,05-01-2015,17:48:59,17:00:00,January,Monday
293,05-01-2015,17:58:38,17:00:00,January,Monday
294,05-01-2015,18:16:35,18:00:00,January,Monday
295,05-01-2015,18:20:12,18:00:00,January,Monday
296,05-01-2015,18:46:54,18:00:00,January,Monday
297,05-01-2015,19:02:18,19:00:00,January,Monday
298,05-01-2015,19:10:36,19:00:00,January,Monday
299,05-01-2015,19:34:31,19:00:00,January,Monday
300,05-01-2015,19:42:54,19:00:00,January,Monday
301,05-01-2015,19:45:58,19:00:00,January,Monday
302,05-01-2015,19:57:37,19:00:00,January,Monday
303,05-01-2015,20:02:51,20:00:00,January,Monday
304,05-01-2015,20:07:58,20:00:00,January,Monday
305,05-01-2015,20:35:40,20:00:00,January,Monday
306,05-01-2015,20:37:40,20:00:00,January,Monday
307,05-01-2015,21:45:38,21:00:00,January,Monday
308,05-01-2015,21:59:46,21:00:00,January,Monday
309,06-01-2015,11:39:06,11:00:00,January,Tuesday
310,06-01-2015,11:40:48,11:00:00,January,Tuesday
311,06-01-2015,11:57:27,11:00:00,January,Tuesday
312,06-01-2015,12:05:21,12:00:00,January,Tuesday
313,06-01-2015,12:09:09,12:00:00,January,Tuesday
314,06-01-2015,12:11:58,12:00:00,January,Tuesday
315,06-01-2015,12:17:40,12:00:00,January,Tuesday
316,06-01-2015,12:29:34,12:00:00,January,Tuesday
317,06-01-2015,12:31:00,12:00:00,January,Tuesday
318,06-01-2015,12:45:14,12:00:00,January,Tuesday
319,06-01-2015,12:46:22,12:00:00,January,Tuesday
320,06-01-2015,12:46:40,12:00:00,January,Tuesday
321,06-01-2015,12:56:21,12:00:00,January,Tuesday
322,06-01-2015,13:02:13,13:00:00,January,Tuesday
323,06-01-2015,13:05:33,13:00:00,January,Tuesday
324,06-01-2015,13:06:44,13:00:00,January,Tuesday
325,06-01-2015,13:07:32,13:00:00,January,Tuesday
326,06-01-2015,13:10:13,13:00:00,January,Tuesday
327,06-01-2015,13:10:54,13:00:00,January,Tuesday
328,06-01-2015,13:16:35,13:00:00,January,Tuesday
329,06-01-2015,13:22:44,13:00:00,January,Tuesday
330,06-01-2015,13:27:11,13:00:00,January,Tuesday
331,06-01-2015,13:43:30,13:00:00,January,Tuesday
332,06-01-2015,14:12:01,14:00:00,January,Tuesday
333,06-01-2015,14:16:36,14:00:00,January,Tuesday
334,06-01-2015,14:24:18,14:00:00,January,Tuesday
335,06-01-2015,14:24:47,14:00:00,January,Tuesday
336,06-01-2015,14:51:41,14:00:00,January,Tuesday
337,06-01-2015,15:03:12,15:00:00,January,Tuesday
338,06-01-2015,15:18:26,15:00:00,January,Tuesday
339,06-01-2015,15:25:13,15:00:00,January,Tuesday
340,06-01-2015,15:35:32,15:00:00,January,Tuesday
341,06-01-2015,15:35:47,15:00:00,January,Tuesday
342,06-01-2015,15:44:12,15:00:00,January,Tuesday
343,06-01-2015,15:45:37,15:00:00,January,Tuesday
344,06-01-2015,16:01:11,16:00:00,January,Tuesday
345,06-01-2015,16:01:47,16:00:00,January,Tuesday
346,06-01-2015,16:30:00,16:00:00,January,Tuesday
347,06-01-2015,16:37:17,16:00:00,January,Tuesday
348,06-01-2015,16:49:12,16:00:00,January,Tuesday
349,06-01-2015,17:25:58,17:00:00,January,Tuesday
350,06-01-2015,17:37:05,17:00:00,January,Tuesday
351,06-01-2015,17:37:29,17:00:00,January,Tuesday
352,06-01-2015,17:45:48,17:00:00,January,Tuesday
353,06-01-2015,17:59:48,17:00:00,January,Tuesday
354,06-01-2015,18:01:44,18:00:00,January,Tuesday
355,06-01-2015,18:14:45,18:00:00,January,Tuesday
356,06-01-2015,18:16:05,18:00:00,January,Tuesday
357,06-01-2015,18:27:58,18:00:00,January,Tuesday
358,06-01-2015,18:30:12,18:00:00,January,Tuesday
359,06-01-2015,18:33:08,18:00:00,January,Tuesday
360,06-01-2015,18:50:38,18:00:00,January,Tuesday
361,06-01-2015,19:12:38,19:00:00,January,Tuesday
362,06-01-2015,19:13:36,19:00:00,January,Tuesday
363,06-01-2015,19:20:31,19:00:00,January,Tuesday
364,06-01-2015,19:27:24,19:00:00,January,Tuesday
365,06-01-2015,19:37:26,19:00:00,January,Tuesday
366,06-01-2015,20:04:20,20:00:00,January,Tuesday
367,06-01-2015,20:05:12,20:00:00,January,Tuesday
368,06-01-2015,20:28:16,20:00:00,January,Tuesday
369,06-01-2015,20:30:06,20:00:00,January,Tuesday
370,06-01-2015,21:02:30,21:00:00,January,Tuesday
371,06-01-2015,21:15:20,21:00:00,January,Tuesday
372,06-01-2015,22:26:59,22:00:00,January,Tuesday
373,07-01-2015,11:45:18,11:00:00,January,Wednesday
374,07-01-2015,11:55:59,11:00:00,January,Wednesday
375,07-01-2015,11:58:36,11:00:00,January,Wednesday
376,07-01-2015,12:01:17,12:00:00,January,Wednesday
377,07-01-2015,12:03:18,12:00:00,January,Wednesday
378,07-01-2015,12:19:37,12:00:00,January,Wednesday
379,07-01-2015,12:25:37,12:00:00,January,Wednesday
380,07-01-2015,12:32:10,12:00:00,January,Wednesday
381,07-01-2015,12:33:06,12:00:00,January,Wednesday
382,07-01-2015,12:33:07,12:00:00,January,Wednesday
383,07-01-2015,12:43:59,12:00:00,January,Wednesday
384,07-01-2015,12:51:46,12:00:00,January,Wednesday
385,07-01-2015,12:54:19,12:00:00,January,Wednesday
386,07-01-2015,12:58:16,12:00:00,January,Wednesday
387,07-01-2015,13:03:14,13:00:00,January,Wednesday
388,07-01-2015,13:04:56,13:00:00,January,Wednesday
389,07-01-2015,13:10:17,13:00:00,January,Wednesday
390,07-01-2015,13:15:32,13:00:00,January,Wednesday
391,07-01-2015,13:25:31,13:00:00,January,Wednesday
392,07-01-2015,13:36:47,13:00:00,January,Wednesday
393,07-01-2015,13:48:31,13:00:00,January,Wednesday
394,07-01-2015,14:02:18,14:00:00,January,Wednesday
395,07-01-2015,14:11:08,14:00:00,January,Wednesday
396,07-01-2015,14:12:21,14:00:00,January,Wednesday
397,07-01-2015,14:31:10,14:00:00,January,Wednesday
398,07-01-2015,14:56:26,14:00:00,January,Wednesday
399,07-01-2015,15:47:49,15:00:00,January,Wednesday
400,07-01-2015,16:03:07,16:00:00,January,Wednesday
401,07-01-2015,16:08:35,16:00:00,January,Wednesday
402,07-01-2015,16:24:46,16:00:00,January,Wednesday
403,07-01-2015,16:26:10,16:00:00,January,Wednesday
404,07-01-2015,16:39:27,16:00:00,January,Wednesday
405,07-01-2015,16:44:16,16:00:00,January,Wednesday
406,07-01-2015,16:50:49,16:00:00,January,Wednesday
407,07-01-2015,16:56:42,16:00:00,January,Wednesday
408,07-01-2015,17:09:09,17:00:00,January,Wednesday
409,07-01-2015,17:15:04,17:00:00,January,Wednesday
410,07-01-2015,17:33:49,17:00:00,January,Wednesday
411,07-01-2015,17:58:09,17:00:00,January,Wednesday
412,07-01-2015,18:07:46,18:00:00,January,Wednesday
413,07-01-2015,18:11:32,18:00:00,January,Wednesday
414,07-01-2015,18:13:22,18:00:00,January,Wednesday
415,07-01-2015,18:16:23,18:00:00,January,Wednesday
416,07-01-2015,18:17:42,18:00:00,January,Wednesday
417,07-01-2015,18:24:40,18:00:00,January,Wednesday
418,07-01-2015,18:40:11,18:00:00,January,Wednesday
419,07-01-2015,19:02:31,19:00:00,January,Wednesday
420,07-01-2015,19:04:40,19:00:00,January,Wednesday
421,07-01-2015,19:21:58,19:00:00,January,Wednesday
422,07-01-2015,19:30:25,19:00:00,January,Wednesday
423,07-01-2015,19:45:07,19:00:00,January,Wednesday
424,07-01-2015,20:01:28,20:00:00,January,Wednesday
425,07-01-2015,20:21:19,20:00:00,January,Wednesday
426,07-01-2015,20:25:45,20:00:00,January,Wednesday
427,07-01-2015,21:49:00,21:00:00,January,Wednesday
428,07-01-2015,22:05:00,22:00:00,January,Wednesday
429,07-01-2015,22:16:53,22:00:00,January,Wednesday
430,07-01-2015,22:46:13,22:00:00,January,Wednesday
431,08-01-2015,11:17:13,11:00:00,January,Thursday
432,08-01-2015,11:39:07,11:00:00,January,Thursday
433,08-01-2015,11:49:50,11:00:00,January,Thursday
434,08-01-2015,11:54:14,11:00:00,January,Thursday
435,08-01-2015,12:06:09,12:00:00,January,Thursday
436,08-01-2015,12:07:21,12:00:00,January,Thursday
437,08-01-2015,12:07:54,12:00:00,January,Thursday
438,08-01-2015,12:08:38,12:00:00,January,Thursday
439,08-01-2015,12:13:08,12:00:00,January,Thursday
440,08-01-2015,12:16:34,12:00:00,January,Thursday
441,08-01-2015,12:16:58,12:00:00,January,Thursday
442,08-01-2015,12:28:49,12:00:00,January,Thursday
443,08-01-2015,12:34:20,12:00:00,January,Thursday
444,08-01-2015,12:40:05,12:00:00,January,Thursday
445,08-01-2015,12:57:39,12:00:00,January,Thursday
446,08-01-2015,12:58:01,12:00:00,January,Thursday
447,08-01-2015,13:02:00,13:00:00,January,Thursday
448,08-01-2015,13:03:34,13:00:00,January,Thursday
449,08-01-2015,13:04:15,13:00:00,January,Thursday
450,08-01-2015,13:07:53,13:00:00,January,Thursday
451,08-01-2015,13:19:06,13:00:00,January,Thursday
452,08-01-2015,13:24:11,13:00:00,January,Thursday
453,08-01-2015,13:27:14,13:00:00,January,Thursday
454,08-01-2015,13:31:40,13:00:00,January,Thursday
455,08-01-2015,13:39:14,13:00:00,January,Thursday
456,08-01-2015,13:47:53,13:00:00,January,Thursday
457,08-01-2015,13:59:04,13:00:00,January,Thursday
458,08-01-2015,14:00:05,14:00:00,January,Thursday
459,08-01-2015,14:14:02,14:00:00,January,Thursday
460,08-01-2015,14:19:58,14:00:00,January,Thursday
461,08-01-2015,14:21:19,14:00:00,January,Thursday
462,08-01-2015,14:38:41,14:00:00,January,Thursday
463,08-01-2015,14:40:28,14:00:00,January,Thursday
464,08-01-2015,14:49:01,14:00:00,January,Thursday
465,08-01-2015,14:55:23,14:00:00,January,Thursday
466,08-01-2015,15:30:10,15:00:00,January,Thursday
467,08-01-2015,15:33:13,15:00:00,January,Thursday
468,08-01-2015,15:36:12,15:00:00,January,Thursday
469,08-01-2015,15:37:18,15:00:00,January,Thursday
470,08-01-2015,15:49:13,15:00:00,January,Thursday
471,08-01-2015,16:20:26,16:00:00,January,Thursday
472,08-01-2015,16:29:50,16:00:00,January,Thursday
473,08-01-2015,16:41:27,16:00:00,January,Thursday
474,08-01-2015,16:47:48,16:00:00,January,Thursday
475,08-01-2015,17:15:17,17:00:00,January,Thursday
476,08-01-2015,17:27:56,17:00:00,January,Thursday
477,08-01-2015,17:30:04,17:00:00,January,Thursday
478,08-01-2015,17:35:56,17:00:00,January,Thursday
479,08-01-2015,17:37:03,17:00:00,January,Thursday
480,08-01-2015,17:41:31,17:00:00,January,Thursday
481,08-01-2015,17:41:37,17:00:00,January,Thursday
482,08-01-2015,17:52:42,17:00:00,January,Thursday
483,08-01-2015,17:54:05,17:00:00,January,Thursday
484,08-01-2015,18:02:54,18:00:00,January,Thursday
485,08-01-2015,18:07:31,18:00:00,January,Thursday
486,08-01-2015,18:15:08,18:00:00,January,Thursday
487,08-01-2015,18:30:16,18:00:00,January,Thursday
488,08-01-2015,18:46:02,18:00:00,January,Thursday
489,08-01-2015,18:48:43,18:00:00,January,Thursday
490,08-01-2015,18:49:24,18:00:00,January,Thursday
491,08-01-2015,19:01:12,19:00:00,January,Thursday
492,08-01-2015,19:06:21,19:00:00,January,Thursday
493,08-01-2015,19:31:47,19:00:00,January,Thursday
494,08-01-2015,19:38:40,19:00:00,January,Thursday
495,08-01-2015,19:42:52,19:00:00,January,Thursday
496,08-01-2015,19:46:18,19:00:00,January,Thursday
497,08-01-2015,19:49:26,19:00:00,January,Thursday
498,08-01-2015,20:02:25,20:00:00,January,Thursday
